main_team,team_group,competition,away_home,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
Almeria,0,La Liga,away,4,2,4,20.0,40.0,40.0,0.5,1.0,1.0,0.5
Almeria,0,La Liga,home,6,4,5,64.0,81.0,105.0,0.6095238095238096,0.7714285714285715,0.8333333333333334,0.6666666666666666
Almeria,1,La Liga,away,6,4,6,92.0,119.0,119.0,0.773109243697479,1.0,1.0,0.6666666666666666
Almeria,1,La Liga,home,6,5,6,60.0,65.0,65.0,0.9230769230769231,1.0,1.0,0.8333333333333334
Almeria,2,La Liga,away,3,2,3,20.0,24.0,24.0,0.8333333333333334,1.0,1.0,0.6666666666666666
Almeria,2,La Liga,home,2,2,1,33.0,19.0,33.0,1.0,0.5757575757575758,0.5,1.0
Almeria,all,La Liga,away,13,8,13,132.0,183.0,183.0,0.7213114754098361,1.0,1.0,0.6153846153846154
Almeria,all,La Liga,home,14,11,12,157.0,165.0,203.0,0.7733990147783252,0.812807881773399,0.8571428571428571,0.7857142857142857
Arsenal,0,Premier League,away,4,4,3,68.0,48.0,68.0,1.0,0.7058823529411765,0.75,1.0
Arsenal,0,Premier League,home,5,4,4,47.0,47.0,66.0,0.7121212121212122,0.7121212121212122,0.8,0.8
Arsenal,1,Premier League,away,5,5,0,67.0,0.0,67.0,1.0,0.0,0.0,1.0
Arsenal,1,Premier League,home,5,5,5,82.0,82.0,82.0,1.0,1.0,1.0,1.0
Arsenal,2,Premier League,away,5,4,2,52.0,35.0,74.0,0.7027027027027027,0.47297297297297297,0.4,0.8
Arsenal,2,Premier League,home,5,5,3,78.0,57.0,78.0,1.0,0.7307692307692307,0.6,1.0
Arsenal,all,Premier League,away,14,13,5,187.0,83.0,209.0,0.8947368421052632,0.39712918660287083,0.35714285714285715,0.9285714285714286
Arsenal,all,Premier League,home,15,14,12,207.0,186.0,226.0,0.915929203539823,0.8230088495575221,0.8,0.9333333333333333
Aston Villa,0,Premier League,away,5,4,4,62.0,58.0,76.0,0.8157894736842105,0.7631578947368421,0.8,0.8
Aston Villa,0,Premier League,home,3,3,3,45.0,45.0,45.0,1.0,1.0,1.0,1.0
Aston Villa,1,Premier League,away,4,3,3,59.0,42.0,71.0,0.8309859154929577,0.5915492957746479,0.75,0.75
Aston Villa,1,Premier League,home,6,4,4,75.0,51.0,90.0,0.8333333333333334,0.5666666666666667,0.6666666666666666,0.6666666666666666
Aston Villa,2,Premier League,away,6,4,3,63.0,18.0,73.0,0.863013698630137,0.2465753424657534,0.5,0.6666666666666666
Aston Villa,2,Premier League,home,5,5,3,80.0,44.0,80.0,1.0,0.55,0.6,1.0
Aston Villa,all,Premier League,away,15,11,10,184.0,118.0,220.0,0.8363636363636363,0.5363636363636364,0.6666666666666666,0.7333333333333333
Aston Villa,all,Premier League,home,14,12,10,200.0,140.0,215.0,0.9302325581395349,0.6511627906976745,0.7142857142857143,0.8571428571428571
Atalanta,0,Serie A,away,5,3,3,48.0,69.0,98.0,0.4897959183673469,0.7040816326530612,0.6,0.6
Atalanta,0,Serie A,home,4,3,4,30.0,41.0,41.0,0.7317073170731707,1.0,1.0,0.75
Atalanta,1,Serie A,away,5,4,3,43.0,47.0,64.0,0.671875,0.734375,0.6,0.8
Atalanta,1,Serie A,home,5,4,3,49.0,41.0,74.0,0.6621621621621622,0.5540540540540541,0.6,0.8
Atalanta,2,Serie A,away,5,5,3,62.0,58.0,62.0,1.0,0.9354838709677419,0.6,1.0
Atalanta,2,Serie A,home,4,4,3,67.0,47.0,67.0,1.0,0.7014925373134329,0.75,1.0
Atalanta,all,Serie A,away,15,12,9,153.0,174.0,224.0,0.6830357142857143,0.7767857142857143,0.6,0.8
Atalanta,all,Serie A,home,13,11,10,146.0,129.0,182.0,0.8021978021978022,0.7087912087912088,0.7692307692307693,0.8461538461538461
Ath Bilbao,0,La Liga,away,4,1,3,17.0,51.0,66.0,0.25757575757575757,0.7727272727272727,0.75,0.25
Ath Bilbao,0,La Liga,home,4,1,3,12.0,53.0,65.0,0.18461538461538463,0.8153846153846154,0.75,0.25
Ath Bilbao,1,La Liga,away,5,3,3,24.0,40.0,68.0,0.35294117647058826,0.5882352941176471,0.6,0.6
Ath Bilbao,1,La Liga,home,5,3,3,51.0,51.0,68.0,0.75,0.75,0.6,0.6
Ath Bilbao,2,La Liga,away,4,4,4,64.0,64.0,64.0,1.0,1.0,1.0,1.0
Ath Bilbao,2,La Liga,home,5,3,1,23.0,4.0,55.0,0.41818181818181815,0.07272727272727272,0.2,0.6
Ath Bilbao,all,La Liga,away,13,8,10,105.0,155.0,198.0,0.5303030303030303,0.7828282828282829,0.7692307692307693,0.6153846153846154
Ath Bilbao,all,La Liga,home,14,7,7,86.0,108.0,188.0,0.4574468085106383,0.574468085106383,0.5,0.5
Ath Madrid,0,La Liga,away,4,4,3,48.0,39.0,48.0,1.0,0.8125,0.75,1.0
Ath Madrid,0,La Liga,home,5,3,3,57.0,24.0,75.0,0.76,0.32,0.6,0.6
Ath Madrid,1,La Liga,away,6,5,2,86.0,26.0,100.0,0.86,0.26,0.3333333333333333,0.8333333333333334
Ath Madrid,1,La Liga,home,4,4,4,48.0,48.0,48.0,1.0,1.0,1.0,1.0
Ath Madrid,2,La Liga,away,3,3,1,21.0,17.0,21.0,1.0,0.8095238095238095,0.3333333333333333,1.0
Ath Madrid,2,La Liga,home,5,5,2,94.0,34.0,94.0,1.0,0.3617021276595745,0.4,1.0
Ath Madrid,all,La Liga,away,13,12,6,155.0,82.0,169.0,0.9171597633136095,0.48520710059171596,0.46153846153846156,0.9230769230769231
Ath Madrid,all,La Liga,home,14,12,9,199.0,106.0,217.0,0.9170506912442397,0.48847926267281105,0.6428571428571429,0.8571428571428571
Augsburg,0,Bundesliga,away,5,5,5,74.0,74.0,74.0,1.0,1.0,1.0,1.0
Augsburg,0,Bundesliga,home,5,4,3,50.0,25.0,51.0,0.9803921568627451,0.49019607843137253,0.6,0.8
Augsburg,1,Bundesliga,away,5,4,4,62.0,60.0,66.0,0.9393939393939394,0.9090909090909091,0.8,0.8
Augsburg,1,Bundesliga,home,5,5,3,73.0,35.0,73.0,1.0,0.4794520547945205,0.6,1.0
Augsburg,2,Bundesliga,away,3,2,3,20.0,42.0,42.0,0.47619047619047616,1.0,1.0,0.6666666666666666
Augsburg,2,Bundesliga,home,3,1,3,25.0,45.0,45.0,0.5555555555555556,1.0,1.0,0.3333333333333333
Augsburg,all,Bundesliga,away,13,11,12,156.0,176.0,182.0,0.8571428571428571,0.967032967032967,0.9230769230769231,0.8461538461538461
Augsburg,all,Bundesliga,home,13,10,9,148.0,105.0,169.0,0.8757396449704142,0.621301775147929,0.6923076923076923,0.7692307692307693
Barcelona,0,La Liga,away,6,6,3,95.0,31.0,95.0,1.0,0.3263157894736842,0.5,1.0
Barcelona,0,La Liga,home,3,3,1,48.0,27.0,48.0,1.0,0.5625,0.3333333333333333,1.0
Barcelona,1,La Liga,away,5,5,1,49.0,14.0,49.0,1.0,0.2857142857142857,0.2,1.0
Barcelona,1,La Liga,home,4,3,0,52.0,0.0,53.0,0.9811320754716981,0.0,0.0,0.75
Barcelona,2,La Liga,away,3,2,1,40.0,24.0,64.0,0.625,0.375,0.3333333333333333,0.6666666666666666
Barcelona,2,La Liga,home,6,6,1,80.0,15.0,80.0,1.0,0.1875,0.16666666666666666,1.0
Barcelona,all,La Liga,away,14,13,5,184.0,69.0,208.0,0.8846153846153846,0.3317307692307692,0.35714285714285715,0.9285714285714286
Barcelona,all,La Liga,home,13,12,2,180.0,42.0,181.0,0.994475138121547,0.23204419889502761,0.15384615384615385,0.9230769230769231
Bayern Munich,0,Bundesliga,away,5,5,5,56.0,56.0,56.0,1.0,1.0,1.0,1.0
Bayern Munich,0,Bundesliga,home,5,5,2,84.0,44.0,84.0,1.0,0.5238095238095238,0.4,1.0
Bayern Munich,1,Bundesliga,away,4,3,3,51.0,47.0,58.0,0.8793103448275862,0.8103448275862069,0.75,0.75
Bayern Munich,1,Bundesliga,home,6,6,5,73.0,71.0,73.0,1.0,0.9726027397260274,0.8333333333333334,1.0
